corp_code,기업명,사업연도,대사,신뢰도,사용보고서,본문무형자산,주석기말,합산표시,손상액,상각액
00370006,(주)아이엠비씨,2023,성공,확정,원본,3141160394.0,3141160000.0,False,517876000.0,803818000.0
00370006,(주)아이엠비씨,2024,성공,확정,정정,4106466250.0,4106466000.0,False,49482000.0,1298672000.0
00370006,(주)아이엠비씨,2025,성공,확정,원본,3070600998.0,3070601000.0,False,156910000.0,1655775000.0
00303794,(주)쇼박스,2015,성공,확정,원본,115690002.0,115690000.0,False,0.0,75193958000.0
00303794,(주)쇼박스,2016,성공,확정,원본,846511152.0,846511000.0,False,0.0,50270155000.0
00303794,(주)쇼박스,2017,성공,확정,정정,1036992166.0,1036993000.0,False,0.0,57782787000.0
00303794,(주)쇼박스,2018,성공,확정,원본,8556275528.0,8556276000.0,False,0.0,39906015000.0
00303794,(주)쇼박스,2019,성공,확정,원본,3390114690.0,3390114000.0,False,0.0,59874944000.0
00303794,(주)쇼박스,2020,성공,확정,원본,2721531871.0,2721532000.0,False,0.0,30399281000.0
00303794,(주)쇼박스,2021,성공,확정,원본,2317087392.0,2317087000.0,False,0.0,19268441000.0
00303794,(주)쇼박스,2022,성공,확정,원본,4823689789.0,4823690000.0,False,1264000.0,42243536000.0
00303794,(주)쇼박스,2023,성공,확정,원본,10603149876.0,10603150000.0,False,5938622000.0,45820571000.0
00303794,(주)쇼박스,2024,실패,,,,,,,
00303794,(주)쇼박스,2025,실패,,,,,,,
01168684,스튜디오드래곤(주),2017,성공,확정,정정,127525594715.0,127525595000.0,True,,41769803000.0
01168684,스튜디오드래곤(주),2018,성공,확정,원본,198530945651.0,198530946000.0,True,,75468933000.0
01168684,스튜디오드래곤(주),2019,성공,확정,원본,233142287059.0,233142287000.0,True,,115019681000.0
01168684,스튜디오드래곤(주),2020,성공,확정,원본,230416919971.0,230416920000.0,True,,116575185000.0
01168684,스튜디오드래곤(주),2021,성공,확정,원본,298028251868.0,298028252000.0,True,,99149629000.0
01168684,스튜디오드래곤(주),2022,성공,확정,원본,377835439955.0,377835440000.0,True,,158945504000.0
01168684,스튜디오드래곤(주),2023,성공,확정,원본,358885372768.0,358885373000.0,True,,197469701000.0
01168684,스튜디오드래곤(주),2024,성공,확정,원본,204856594091.0,204856594000.0,True,,161544419000.0
01168684,스튜디오드래곤(주),2025,성공,확정,원본,228995860812.0,228995861000.0,False,18822098000.0,131348912000.0
