corp_code,기업명,사업연도,재무제표,자산총계,부채총계,자본총계,무형자산,영업권,재고자산,매출액,영업이익,당기순이익,영업활동현금흐름,대사,신뢰도,합산표시,손상액,상각액,직전재무제표,기준전환,무형비중,무형비중_중앙값,적용대상,상태
00200275,(주)와이티엔,2025,OFS,349994207376.0,119547415850.0,230446791526.0,19732270821.0,,94613702.0,134193072979.0,-13601524449.0,-14187613193.0,-4701106367.0,성공,보통,False,340665000.0,54727000.0,OFS,False,0.056378849721365684,0.06182386331126382,True,사용가능
00203315,(주)콘텐트리중앙,2015,CFS,455951828160.0,377727105124.0,78224723036.0,38688196265.0,38270153797.0,14220481205.0,349718763817.0,31392639648.0,19629839802.0,23458711254.0,성공,확정,False,0.0,4809249000.0,,False,0.08485149938125429,0.09813249736729442,True,사용가능
00203315,(주)콘텐트리중앙,2016,CFS,550190462737.0,425173862685.0,125016600052.0,37790654683.0,38270153797.0,23348035530.0,335160647081.0,28941768858.0,22403344239.0,18373753501.0,성공,확정,False,0.0,838381000.0,CFS,False,0.06868649539107796,0.09813249736729442,True,사용가능
00203315,(주)콘텐트리중앙,2017,CFS,661939538297.0,426206347110.0,235733191187.0,46099700268.0,38270153797.0,23660489711.0,420319379288.0,33348961856.0,10885509875.0,8687940940.0,성공,확정,True,,9608466000.0,CFS,False,0.06964337012803716,0.09813249736729442,True,상각손상합산
00203315,(주)콘텐트리중앙,2018,CFS,821203465264.0,400269803563.0,420933661701.0,51071086500.0,36376628262.0,32914087094.0,511279166205.0,34745942709.0,25554700332.0,24811484254.0,성공,확정,True,,24585648000.0,CFS,False,0.062190539446374225,0.09813249736729442,True,상각손상합산
00203315,(주)콘텐트리중앙,2019,CFS,1161637851755.0,741057775616.0,420580076139.0,48241897308.0,85638392595.0,25552111681.0,554208374396.0,35421708053.0,10629284402.0,39804795350.0,성공,확정,False,0.0,39170670000.0,CFS,False,0.0415292057116736,0.09813249736729442,True,사용가능
00203315,(주)콘텐트리중앙,2020,CFS,1475541488507.0,1211631897408.0,263909591099.0,206651874255.0,66163295726.0,26343863954.0,363859571681.0,-56806273781.0,-154022316185.0,39064264081.0,성공,확정,False,0.0,49941818000.0,CFS,False,0.14005155115231424,0.09813249736729442,True,사용가능
00203315,(주)콘텐트리중앙,2021,CFS,2245640002695.0,1547849542572.0,697790460123.0,282185439022.0,239776342992.0,75524404017.0,677129957301.0,-57365948945.0,-49813264038.0,-122392657083.0,성공,확정,False,55946695000.0,103510983000.0,CFS,False,0.12565925022859778,0.09813249736729442,True,사용가능
00203315,(주)콘텐트리중앙,2022,CFS,2588133968042.0,1896426846325.0,691707121717.0,348793885171.0,308724699574.0,75599099906.0,852050847599.0,-71591321151.0,-79652622875.0,50142138885.0,성공,확정,False,109069774000.0,118947932000.0,CFS,False,0.13476654975278304,0.09813249736729442,True,사용가능
00203315,(주)콘텐트리중앙,2023,CFS,2453055022945.0,1942938338789.0,510116684156.0,321658035124.0,270904604165.0,4398098265.0,993035799342.0,-68126882657.0,-171340065923.0,-84900438071.0,성공,확정,False,78205279000.0,107191191000.0,CFS,False,0.1311254872456287,0.09813249736729442,True,사용가능
00203315,(주)콘텐트리중앙,2024,CFS,2758664473521.0,2189728550386.0,568935923135.0,425438422210.0,275283246073.0,5508008612.0,879462982938.0,-47378983753.0,-91903478981.0,-27942501870.0,성공,확정,False,14157305000.0,123928356000.0,CFS,False,0.15421898034123555,0.09813249736729442,True,사용가능
00203315,(주)콘텐트리중앙,2025,CFS,2490910514038.0,1894749170889.0,596161343149.0,244439269461.0,289382806845.0,6444467197.0,1083288419056.0,8844995426.0,-93139692457.0,-261438473.0,성공,확정,False,6042266000.0,146161781000.0,CFS,False,0.09813249736729442,0.09813249736729442,True,사용가능
00204642,(주)티비씨,2015,CFS,108218025980.0,7483405033.0,100734620947.0,2282565000.0,414808262.0,3305600.0,41125285713.0,2000501761.0,3631552000.0,4339639161.0,실패,,,,,,False,0.021092280877696344,0.0013293700925165993,False,적용대상아님
00204642,(주)티비씨,2016,CFS,110509715859.0,8591849841.0,101917866018.0,2339889400.0,305717353.0,2942153.0,38827003192.0,1826482007.0,2650259616.0,2430790959.0,실패,,,,,CFS,False,0.021173607965705738,0.0013293700925165993,False,적용대상아님
00204642,(주)티비씨,2017,CFS,114357796591.0,10048323983.0,104309472608.0,332492191.0,,2752150.0,42211579776.0,2677784067.0,3067237882.0,7485013040.0,실패,,,,,CFS,False,0.002907472869463867,0.0013293700925165993,False,적용대상아님
00204642,(주)티비씨,2018,CFS,116772500002.0,10204784511.0,106567715491.0,336474873.0,,2535468.0,40608939114.0,2571628170.0,3382631663.0,633087862.0,실패,,,,,CFS,False,0.0028814564473162523,0.0013293700925165993,False,적용대상아님
